candle_open_time,open_price,high_price,low_price,close_price,btc_volume,candle_close_time,usd_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2021-05-01 01:20:00,57680.33000000,57709.81000000,57677.41000000,57701.94000000,0.17258800,2021-05-01 01:20:59.999,9956.60140525,11,0.16072700,9272.19833908,0
2021-05-01 01:21:00,57750.00000000,57766.63000000,57735.83000000,57755.69000000,0.22360800,2021-05-01 01:21:59.999,12913.14326565,12,0.18225600,10525.38978207,0
2021-05-01 01:22:00,57731.59000000,57842.89000000,57731.59000000,57831.36000000,1.32915300,2021-05-01 01:22:59.999,76765.83458598,31,1.14322600,66025.84667260,0
2021-05-01 01:23:00,57847.14000000,57849.72000000,57833.39000000,57849.72000000,0.01632100,2021-05-01 01:23:59.999,943.92578007,7,0.00094600,54.72551892,0
2021-05-01 01:24:00,57843.37000000,57914.56000000,57843.37000000,57914.56000000,1.22531700,2021-05-01 01:24:59.999,70903.46589705,24,1.22145300,70679.95911537,0
2021-05-01 01:25:00,57907.65000000,57919.81000000,57907.64000000,57919.81000000,0.04090000,2021-05-01 01:25:59.999,2368.65416429,3,0.00000000,0.00000000,0
2021-05-01 01:26:00,57909.96000000,57909.96000000,57819.56000000,57835.76000000,1.02324100,2021-05-01 01:26:59.999,59206.54035007,46,0.18552500,10731.77837466,0
2021-05-01 01:27:00,57840.25000000,57844.35000000,57779.69000000,57779.69000000,0.32711200,2021-05-01 01:27:59.999,18917.98143402,18,0.01762400,1019.44459464,0
2021-05-01 01:28:00,57794.23000000,57844.56000000,57794.23000000,57838.81000000,0.15852300,2021-05-01 01:28:59.999,9166.13504215,7,0.12451300,7199.06500225,0
2021-05-01 01:29:00,57835.01000000,57838.81000000,57818.39000000,57823.47000000,0.35459200,2021-05-01 01:29:59.999,20505.55302790,13,0.04497000,2600.37187409,0
2021-05-01 01:30:00,57823.47000000,57824.26000000,57780.92000000,57780.92000000,0.27360700,2021-05-01 01:30:59.999,15816.54753757,12,0.06452300,3730.95847533,0
2021-05-01 01:31:00,57753.40000000,57761.33000000,57740.72000000,57761.33000000,0.23774900,2021-05-01 01:31:59.999,13729.43087413,13,0.14930000,8621.59207697,0
2021-05-01 01:32:00,57757.54000000,57823.45000000,57757.54000000,57823.45000000,0.03561400,2021-05-01 01:32:59.999,2058.09049485,4,0.00150600,87.02839905,0
2021-05-01 01:33:00,57813.19000000,57818.76000000,57805.89000000,57818.76000000,0.14130300,2021-05-01 01:33:59.999,8168.94639672,5,0.00000000,0.00000000,0
2021-05-01 01:34:00,57831.84000000,57831.84000000,57829.69000000,57829.69000000,0.00218500,2021-05-01 01:34:59.999,126.35880360,3,0.00000000,0.00000000,0
2021-05-01 01:35:00,57913.37000000,57935.93000000,57913.37000000,57935.93000000,0.59337900,2021-05-01 01:35:59.999,34373.95598346,8,0.59337900,34373.95598346,0
2021-05-01 01:36:00,57917.08000000,57983.71000000,57844.71000000,57983.71000000,1.30233100,2021-05-01 01:36:59.999,75420.00935966,36,0.48944900,28353.79595931,0
2021-05-01 01:37:00,57982.29000000,58013.73000000,57982.29000000,58013.73000000,0.12334200,2021-05-01 01:37:59.999,7153.55408945,17,0.05682500,3295.82783995,0
2021-05-01 01:38:00,57997.65000000,57997.65000000,57919.44000000,57941.62000000,0.21494400,2021-05-01 01:38:59.999,12456.35395157,10,0.03241400,1877.86577724,0
2021-05-01 01:39:00,57976.68000000,57976.68000000,57956.53000000,57956.53000000,0.04801600,2021-05-01 01:39:59.999,2783.05116438,6,0.02180600,1263.83487208,0
2021-05-01 01:40:00,57976.68000000,57979.33000000,57951.93000000,57953.63000000,0.26151200,2021-05-01 01:40:59.999,15158.97283974,11,0.03943100,2285.80911059,0
2021-05-01 01:41:00,57935.68000000,57962.17000000,57926.74000000,57926.74000000,0.23132200,2021-05-01 01:41:59.999,13404.47085187,12,0.19731500,11434.55517795,0
2021-05-01 01:42:00,57945.68000000,57960.90000000,57944.88000000,57956.98000000,0.20784100,2021-05-01 01:42:59.999,12044.52956181,10,0.00044700,25.90438246,0
2021-05-01 01:43:00,57974.92000000,57974.92000000,57974.70000000,57974.70000000,0.10994000,2021-05-01 01:43:59.999,6373.74290480,3,0.00000000,0.00000000,0
2021-05-01 01:44:00,57980.00000000,58259.24000000,57980.00000000,58187.35000000,6.79535800,2021-05-01 01:44:59.999,394876.40105723,190,4.45594200,258828.09492130,0
2021-05-01 01:45:00,58204.04000000,58210.86000000,58100.00000000,58182.32000000,1.95604400,2021-05-01 01:45:59.999,113691.95965743,53,1.26821700,73700.57375971,0
2021-05-01 01:46:00,58126.55000000,58300.02000000,58107.31000000,58300.02000000,1.13642600,2021-05-01 01:46:59.999,66056.29698985,33,0.67395200,39170.44799914,0
2021-05-01 01:47:00,58300.02000000,58388.37000000,58238.78000000,58350.00000000,0.92619000,2021-05-01 01:47:59.999,54007.71813429,98,0.54000400,31493.14368672,0
2021-05-01 01:48:00,58350.00000000,58388.38000000,58319.49000000,58349.83000000,0.60411400,2021-05-01 01:48:59.999,35252.32986754,37,0.15672000,9148.30458018,0
2021-05-01 01:49:00,58336.17000000,58415.60000000,58336.17000000,58376.46000000,0.93731900,2021-05-01 01:49:59.999,54714.43436582,67,0.49079900,28641.04615353,0
2021-05-01 01:50:00,58358.53000000,58400.00000000,58358.53000000,58392.39000000,0.37318900,2021-05-01 01:50:59.999,21788.98890372,17,0.30920500,18053.02460370,0
2021-05-01 01:51:00,58377.87000000,58377.87000000,58276.57000000,58296.74000000,0.82138400,2021-05-01 01:51:59.999,47900.13579020,58,0.30638400,17856.20594034,0
2021-05-01 01:52:00,58274.82000000,58321.89000000,58231.09000000,58321.89000000,0.59294100,2021-05-01 01:52:59.999,34546.43758877,36,0.30229400,17613.12496774,0
2021-05-01 01:53:00,58349.74000000,58417.93000000,58332.96000000,58395.52000000,0.82195300,2021-05-01 01:53:59.999,47982.76681973,44,0.36453900,21284.08298638,0
2021-05-01 01:54:00,58401.54000000,58427.03000000,58393.18000000,58417.64000000,0.57687000,2021-05-01 01:54:59.999,33697.06129229,27,0.48049600,28067.03533018,0
2021-05-01 01:55:00,58445.46000000,58467.76000000,58333.24000000,58333.24000000,0.43036100,2021-05-01 01:55:59.999,25129.11585482,26,0.11729200,6854.65627379,0
2021-05-01 01:56:00,58322.44000000,58400.93000000,58314.75000000,58400.93000000,0.06943400,2021-05-01 01:56:59.999,4052.12746651,9,0.06752900,3941.03786776,0
